id,source,idno,title,category,repository_id,publisher,nation,access,year_start,year_end,created_at,updated_at,page_views_total,download_count,landing_page,api_endpoint
472,microdatos.dane.gov.co,DANE-DIMPE-EXPO-2011-2012-2013-2014-2015-2016,Estadísticas de Exportaciones - EXPO - 2011 A 2024,Comercio internacional.,CI-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2011,2024,2018-01-24T17:57:50+00:00,2026-05-06T03:33:21+00:00,783085,1459991,https://microdatos.dane.gov.co/index.php/catalog/472,https://microdatos.dane.gov.co/index.php/api/catalog/472
421,microdatos.dane.gov.co,DANE-DCD-CGRAL-2005,Censo General 2005,Demografía y población.,DEM-Microdatos,Dirección de Censos y Demografía - DCD,Colombia,direct,2005,2006,2016-08-19T15:49:50+00:00,2024-01-18T17:02:07+00:00,1435893,997723,https://microdatos.dane.gov.co/index.php/catalog/421,https://microdatos.dane.gov.co/index.php/api/catalog/421
643,microdatos.dane.gov.co,DANE-DCD-CNPV-2018,Censo Nacional de Población y Vivienda - CNPV - 2018,Demografía y población.,DEM-Microdatos,"Dirección de Censos y Demografía - DCD, Departamento Administrativo Nacional de Estadística - DANE",Colombia,direct,2018,2018,2019-10-11T13:11:22+00:00,2023-02-23T21:29:01+00:00,1708228,706897,https://microdatos.dane.gov.co/index.php/catalog/643,https://microdatos.dane.gov.co/index.php/api/catalog/643
430,microdatos.dane.gov.co,COL-DIJIN-CSP-2015,Conductas y Servicios de Policía - CSP - 2015,,CAT_POLICIA_NACIONAL,Dirección de Investigación Criminal e Interpol - DIJIN,Colombia,data_na,2003,2015,2016-10-25T15:55:58+00:00,2016-10-25T15:55:58+00:00,268512,441436,https://microdatos.dane.gov.co/index.php/catalog/430,https://microdatos.dane.gov.co/index.php/api/catalog/430
194,microdatos.dane.gov.co,DANE-DIMPE-ELPS-2012,Encuesta longitudinal de Protección Social - ELPS 2012,Salud.,SAL-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2012,2012,2014-05-16T22:03:19+00:00,2017-09-25T15:16:42+00:00,1197269,405501,https://microdatos.dane.gov.co/index.php/catalog/194,https://microdatos.dane.gov.co/index.php/api/catalog/194
206,microdatos.dane.gov.co,DANE-DIMPE-GEIH-2008,Gran Encuesta Integrada de Hogares - GEIH - 2008,Mercado Laboral.,MERCLAB-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2008,2008,2014-05-23T22:28:27+00:00,2020-03-09T13:12:40+00:00,1286679,403475,https://microdatos.dane.gov.co/index.php/catalog/206,https://microdatos.dane.gov.co/index.php/api/catalog/206
473,microdatos.dane.gov.co,DANE-DIMPE-IMPO-2012-2016,Estadísticas de Importaciones - IMPO -  2012 A 2024,Comercio internacional.,CI-Microdatos,"Fase 1: (Enero 2008-diciembre 2016), Publicación (31 de Diciembre 2017)., Fase 2: (Enero 1991- diciembre 2007), Publicación (28 de febrero 2018)., Fase 3: (Años 1970 - 1990), Publicación (28 marzo de 2018).",Colombia,direct,2024,2024,2018-01-24T17:57:50+00:00,2025-12-22T14:38:52+00:00,416436,330302,https://microdatos.dane.gov.co/index.php/catalog/473,https://microdatos.dane.gov.co/index.php/api/catalog/473
599,microdatos.dane.gov.co,DANE-DIMPE-GEIH-2019,Gran Encuesta Integrada de Hogares - GEIH - 2019,Mercado Laboral.,MERCLAB-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2019,2019,2019-03-29T17:11:22+00:00,2020-04-08T13:56:28+00:00,903553,270061,https://microdatos.dane.gov.co/index.php/catalog/599,https://microdatos.dane.gov.co/index.php/api/catalog/599
455,microdatos.dane.gov.co,DANE-DIMPE-POBREZA-MULTIDIMENSIONAL-2016,Indice de Pobreza Multidimensional - IPM- 2016,Pobreza y condiciones de vida.,POBCONVID,Departamento Administrativo Nacional de Estadística,Colombia,direct,0,0,2017-03-22T15:51:34+00:00,2022-12-07T17:46:00+00:00,298143,231497,https://microdatos.dane.gov.co/index.php/catalog/455,https://microdatos.dane.gov.co/index.php/api/catalog/455
782,microdatos.dane.gov.co,DANE-DIMPE-GEIH-2023,Gran Encuesta Integrada de Hogares - GEIH - 2023.,Mercado Laboral.,MERCLAB-Microdatos,Dirección de Metodología y Producción Estadística - DIMPE,Colombia,direct,2023,2023,2023-03-10T23:04:52+00:00,2024-03-11T20:50:54+00:00,487395,226870,https://microdatos.dane.gov.co/index.php/catalog/782,https://microdatos.dane.gov.co/index.php/api/catalog/782
