quarter,value,yoy_pct,prices,adjustment,unit
2005-Q1,79447690.3,,current,N,millions of COP
2005-Q2,81415547.5,,current,N,millions of COP
2005-Q3,86574083.9,,current,N,millions of COP
2005-Q4,90520678.3,,current,N,millions of COP
2006-Q1,87867406.8,10.6,current,N,millions of COP
2006-Q2,90402303.9,11.04,current,N,millions of COP
2006-Q3,99439559.1,14.86,current,N,millions of COP
2006-Q4,103894730.1,14.77,current,N,millions of COP
2007-Q1,101106634.2,15.07,current,N,millions of COP
2007-Q2,101301234.0,12.06,current,N,millions of COP
2007-Q3,110318037.0,10.94,current,N,millions of COP
2007-Q4,115780094.8,11.44,current,N,millions of COP
2008-Q1,112631634.1,11.4,current,N,millions of COP
2008-Q2,113643297.9,12.18,current,N,millions of COP
2008-Q3,124383358.7,12.75,current,N,millions of COP
2008-Q4,125895709.3,8.74,current,N,millions of COP
2009-Q1,118657821.4,5.35,current,N,millions of COP
2009-Q2,120780443.3,6.28,current,N,millions of COP
2009-Q3,129064440.1,3.76,current,N,millions of COP
2009-Q4,133071295.2,5.7,current,N,millions of COP
2010-Q1,128913853.6,8.64,current,N,millions of COP
2010-Q2,131339035.5,8.74,current,N,millions of COP
2010-Q3,138322997.1,7.17,current,N,millions of COP
2010-Q4,145484113.7,9.33,current,N,millions of COP
2011-Q1,144950162.2,12.44,current,N,millions of COP
2011-Q2,149255650.7,13.64,current,N,millions of COP
2011-Q3,158289177.8,14.43,current,N,millions of COP
2011-Q4,166528009.3,14.46,current,N,millions of COP
2012-Q1,161358863.8,11.32,current,N,millions of COP
2012-Q2,162499497.9,8.87,current,N,millions of COP
2012-Q3,167588399.1,5.87,current,N,millions of COP
2012-Q4,175060239.2,5.12,current,N,millions of COP
2013-Q1,168308014.4,4.31,current,N,millions of COP
2013-Q2,174285098.3,7.25,current,N,millions of COP
2013-Q3,183492524.5,9.49,current,N,millions of COP
2013-Q4,188007362.8,7.4,current,N,millions of COP
2014-Q1,184417352.1,9.57,current,N,millions of COP
2014-Q2,183819343.9,5.47,current,N,millions of COP
2014-Q3,194748926.2,6.13,current,N,millions of COP
2014-Q4,199917377.8,6.33,current,N,millions of COP
2015-Q1,192099647.0,4.17,current,N,millions of COP
2015-Q2,191662175.1,4.27,current,N,millions of COP
2015-Q3,208171693.2,6.89,current,N,millions of COP
2015-Q4,212758484.8,6.42,current,N,millions of COP
2016-Q1,206792374.0,7.65,current,N,millions of COP
2016-Q2,207801502.4,8.42,current,N,millions of COP
2016-Q3,220633207.9,5.99,current,N,millions of COP
2016-Q4,228554915.7,7.42,current,N,millions of COP
2017-Q1,221106556.3,6.92,current,N,millions of COP
2017-Q2,220760708.5,6.24,current,N,millions of COP
2017-Q3,235819404.3,6.88,current,N,millions of COP
2017-Q4,242784330.8,6.23,current,N,millions of COP
2018-Q1,235959709.1,6.72,current,N,millions of COP
2018-Q2,237503358.0,7.58,current,N,millions of COP
2018-Q3,254117501.6,7.76,current,N,millions of COP
2018-Q4,260210431.3,7.18,current,N,millions of COP
2019-Q1,251646597.3,6.65,current,N,millions of COP
2019-Q2,255564203.5,7.6,current,N,millions of COP
2019-Q3,272347794.0,7.17,current,N,millions of COP
2019-Q4,280509405.2,7.8,current,N,millions of COP
2020-Q1,261665321.7,3.98,current,N,millions of COP
2020-Q2,212698652.9,-16.77,current,N,millions of COP
2020-Q3,248845881.1,-8.63,current,N,millions of COP
2020-Q4,275261144.4,-1.87,current,N,millions of COP
2021-Q1,273720367.7,4.61,current,N,millions of COP
2021-Q2,272648662.2,28.19,current,N,millions of COP
2021-Q3,308955910.7,24.16,current,N,millions of COP
2021-Q4,337309059.4,22.54,current,N,millions of COP
2022-Q1,337205043.8,23.19,current,N,millions of COP
2022-Q2,354040191.5,29.85,current,N,millions of COP
2022-Q3,385286598.3,24.71,current,N,millions of COP
2022-Q4,394547166.3,16.97,current,N,millions of COP
2023-Q1,386430436.0,14.6,current,N,millions of COP
2023-Q2,382613926.4,8.07,current,N,millions of COP
2023-Q3,402020434.1,4.34,current,N,millions of COP
2023-Q4,416135203.5,5.47,current,N,millions of COP
2024-Q1,402398224.1,4.13,current,N,millions of COP
2024-Q2,410208572.1,7.21,current,N,millions of COP
2024-Q3,436587485.9,8.6,current,N,millions of COP
2024-Q4,464121717.9,11.53,current,N,millions of COP
2025-Q1,446290863.4,10.91,current,N,millions of COP
2025-Q2,440860099.6,7.47,current,N,millions of COP
2025-Q3,477927870.2,9.47,current,N,millions of COP
2025-Q4,487591201.2,5.06,current,N,millions of COP
2026-Q1,472759713.3,5.93,current,N,millions of COP
