indicator,period,value,unit
confianza_consumidor,2001-11,-17.72,"balance, seasonally adjusted"
confianza_consumidor,2001-12,-9.83,"balance, seasonally adjusted"
confianza_consumidor,2002-01,-3.324,"balance, seasonally adjusted"
confianza_consumidor,2002-02,-16.584,"balance, seasonally adjusted"
confianza_consumidor,2002-03,-20.476,"balance, seasonally adjusted"
confianza_consumidor,2002-04,-22.972,"balance, seasonally adjusted"
confianza_consumidor,2002-05,-14.598,"balance, seasonally adjusted"
confianza_consumidor,2002-06,3.578,"balance, seasonally adjusted"
confianza_consumidor,2002-07,-5.02,"balance, seasonally adjusted"
confianza_consumidor,2002-08,3.348,"balance, seasonally adjusted"
confianza_consumidor,2002-09,-6.142,"balance, seasonally adjusted"
confianza_consumidor,2002-10,-4.352,"balance, seasonally adjusted"
confianza_consumidor,2002-11,-1.52,"balance, seasonally adjusted"
confianza_consumidor,2002-12,6.1,"balance, seasonally adjusted"
confianza_consumidor,2003-01,0.814000000000001,"balance, seasonally adjusted"
confianza_consumidor,2003-02,-1.322,"balance, seasonally adjusted"
confianza_consumidor,2003-03,-7.828,"balance, seasonally adjusted"
confianza_consumidor,2003-04,-8.49,"balance, seasonally adjusted"
confianza_consumidor,2003-05,-1.558,"balance, seasonally adjusted"
confianza_consumidor,2003-06,5.286,"balance, seasonally adjusted"
confianza_consumidor,2003-07,1.902,"balance, seasonally adjusted"
confianza_consumidor,2003-08,9.946,"balance, seasonally adjusted"
confianza_consumidor,2003-09,5.01,"balance, seasonally adjusted"
confianza_consumidor,2003-10,5.886,"balance, seasonally adjusted"
confianza_consumidor,2003-11,4.884,"balance, seasonally adjusted"
confianza_consumidor,2003-12,14.5,"balance, seasonally adjusted"
confianza_consumidor,2004-01,25.7,"balance, seasonally adjusted"
confianza_consumidor,2004-02,15.95,"balance, seasonally adjusted"
confianza_consumidor,2004-03,13.046,"balance, seasonally adjusted"
confianza_consumidor,2004-04,13.378,"balance, seasonally adjusted"
confianza_consumidor,2004-05,12.412,"balance, seasonally adjusted"
confianza_consumidor,2004-06,12.74,"balance, seasonally adjusted"
confianza_consumidor,2004-07,13.79,"balance, seasonally adjusted"
confianza_consumidor,2004-08,10.344,"balance, seasonally adjusted"
confianza_consumidor,2004-09,5.884,"balance, seasonally adjusted"
confianza_consumidor,2004-10,9.116,"balance, seasonally adjusted"
confianza_consumidor,2004-11,15.704,"balance, seasonally adjusted"
confianza_consumidor,2004-12,12.898,"balance, seasonally adjusted"
confianza_consumidor,2005-01,19.268,"balance, seasonally adjusted"
confianza_consumidor,2005-02,13.922,"balance, seasonally adjusted"
confianza_consumidor,2005-03,9.6,"balance, seasonally adjusted"
confianza_consumidor,2005-04,13.336,"balance, seasonally adjusted"
confianza_consumidor,2005-05,14.052,"balance, seasonally adjusted"
confianza_consumidor,2005-06,18.662,"balance, seasonally adjusted"
confianza_consumidor,2005-07,21.91,"balance, seasonally adjusted"
confianza_consumidor,2005-08,27.97,"balance, seasonally adjusted"
confianza_consumidor,2005-09,18.866,"balance, seasonally adjusted"
confianza_consumidor,2005-10,18.662,"balance, seasonally adjusted"
confianza_consumidor,2005-11,18.79,"balance, seasonally adjusted"
confianza_consumidor,2005-12,22.552,"balance, seasonally adjusted"
confianza_consumidor,2006-01,26.706,"balance, seasonally adjusted"
confianza_consumidor,2006-02,25.126,"balance, seasonally adjusted"
confianza_consumidor,2006-03,30.024,"balance, seasonally adjusted"
confianza_consumidor,2006-04,29.706,"balance, seasonally adjusted"
confianza_consumidor,2006-05,32.208,"balance, seasonally adjusted"
confianza_consumidor,2006-06,34.304,"balance, seasonally adjusted"
confianza_consumidor,2006-07,29.806,"balance, seasonally adjusted"
confianza_consumidor,2006-08,32.648,"balance, seasonally adjusted"
confianza_consumidor,2006-09,25.29,"balance, seasonally adjusted"
confianza_consumidor,2006-10,32.208,"balance, seasonally adjusted"
confianza_consumidor,2006-11,31.89,"balance, seasonally adjusted"
confianza_consumidor,2006-12,37.054,"balance, seasonally adjusted"
